mode,qp,size,bw_avg_gbps
write_bw,32,131072,758.78
write_with_imm,32,131072,762.43
write_bw,32,262144,759.27
write_with_imm,32,262144,762.59
write_bw,32,524288,759.45
write_with_imm,32,524288,762.65
write_bw,32,1048576,759.51
write_with_imm,32,1048576,762.70
write_bw,32,2097152,759.46
write_with_imm,32,2097152,762.71
write_bw,32,4194304,759.50
write_with_imm,32,4194304,762.72
write_bw,32,8388608,759.50
write_with_imm,32,8388608,762.65
write_bw,64,2,0.15
write_with_imm,64,2,0.01
write_bw,64,4,0.30
write_with_imm,64,4,0.01
write_bw,64,8,0.61
write_with_imm,64,8,0.02
write_bw,64,16,1.22
write_with_imm,64,16,0.04
write_bw,64,32,2.44
write_with_imm,64,32,0.08
write_bw,64,64,4.88
write_with_imm,64,64,1.41
write_bw,64,128,9.74
write_with_imm,64,128,0.33
write_bw,64,256,19.45
write_with_imm,64,256,0.67
write_bw,64,512,38.81
write_with_imm,64,512,1.34
write_bw,64,1024,77.33
write_with_imm,64,1024,2.68
write_bw,64,2048,153.64
write_with_imm,64,2048,5.34
write_bw,64,4096,306.19
write_with_imm,64,4096,10.69
write_bw,64,8192,626.62
write_with_imm,64,8192,375.96
write_bw,64,16384,759.73
write_with_imm,64,16384,639.15
write_bw,64,32768,759.76
write_with_imm,64,32768,759.50
write_bw,64,65536,759.74
write_with_imm,64,65536,759.81
write_bw,64,131072,759.73
write_with_imm,64,131072,759.83
write_bw,64,262144,759.76
write_with_imm,64,262144,759.91
write_bw,64,524288,759.77
write_with_imm,64,524288,759.94
write_bw,64,1048576,759.78
write_with_imm,64,1048576,759.99
write_bw,64,2097152,759.78
write_with_imm,64,2097152,760.00
write_bw,64,4194304,759.78
write_with_imm,64,4194304,760.00
write_bw,64,8388608,759.78
write_with_imm,64,8388608,760.02
write_bw,128,2,0.16
write_with_imm,128,2,0.10
write_bw,128,4,0.32
write_with_imm,128,4,0.11
write_bw,128,8,0.63
write_with_imm,128,8,0.20
write_bw,128,16,1.24
write_with_imm,128,16,0.77
write_bw,128,32,2.46
write_with_imm,128,32,0.86
write_bw,128,64,4.92
write_with_imm,128,64,3.16
write_bw,128,128,9.82
write_with_imm,128,128,0.11
write_bw,128,256,19.58
write_with_imm,128,256,12.33
write_bw,128,512,39.07
write_with_imm,128,512,11.68
write_bw,128,1024,77.85
write_with_imm,128,1024,0.57
write_bw,128,2048,154.77
write_with_imm,128,2048,60.78
write_bw,128,4096,309.53
write_with_imm,128,4096,195.77
write_bw,128,8192,633.19
write_with_imm,128,8192,377.25
write_bw,128,16384,759.95
write_with_imm,128,16384,663.50
write_bw,128,32768,760.12
write_with_imm,128,32768,758.59
write_bw,128,65536,760.14
write_with_imm,128,65536,759.54
write_bw,128,131072,760.10
write_with_imm,128,131072,759.71
write_bw,128,262144,760.22
write_with_imm,128,262144,759.97
write_bw,128,524288,760.28
write_with_imm,128,524288,760.18
write_bw,128,1048576,760.31
write_with_imm,128,1048576,760.25
write_bw,128,2097152,760.33
write_with_imm,128,2097152,760.32
write_bw,128,4194304,760.34
write_with_imm,128,4194304,760.33
write_bw,128,8388608,760.34
write_with_imm,128,8388608,760.37
write_bw,256,2,0.16
write_with_imm,256,2,0.08
write_bw,256,4,0.32
write_with_imm,256,4,0.00
write_bw,256,8,0.63
write_with_imm,256,8,0.01
write_bw,256,16,1.24
write_with_imm,256,16,0.02
write_bw,256,32,2.47
write_with_imm,256,32,0.03
write_bw,256,64,4.93
write_with_imm,256,64,1.31
write_bw,256,128,9.85
write_with_imm,256,128,2.60
write_bw,256,256,19.65
write_with_imm,256,256,5.19
write_bw,256,512,39.22
write_with_imm,256,512,10.30
write_bw,256,1024,78.22
write_with_imm,256,1024,20.51
write_bw,256,2048,155.40
write_with_imm,256,2048,40.55
write_bw,256,4096,310.57
write_with_imm,256,4096,79.53
write_bw,256,8192,633.57
write_with_imm,256,8192,322.31
write_bw,256,16384,759.54
write_with_imm,256,16384,606.81
write_bw,256,32768,759.69
write_with_imm,256,32768,759.63
write_bw,256,65536,759.71
write_with_imm,256,65536,760.21
write_bw,256,131072,759.67
write_with_imm,256,131072,760.15
write_bw,256,262144,759.72
write_with_imm,256,262144,760.24
write_bw,256,524288,759.75
write_with_imm,256,524288,760.29
write_bw,256,1048576,759.77
write_with_imm,256,1048576,760.32
write_bw,256,2097152,759.77
write_with_imm,256,2097152,760.33
write_bw,256,4194304,759.78
write_with_imm,256,4194304,760.34
write_bw,256,8388608,759.78
write_with_imm,256,8388608,760.35
write_bw,512,2,0.16
write_with_imm,512,2,0.08
write_bw,512,4,0.31
write_with_imm,512,4,0.15
write_bw,512,8,0.62
write_with_imm,512,8,0.30
write_bw,512,16,1.24
write_with_imm,512,16,0.60
write_bw,512,32,2.47
write_with_imm,512,32,1.20
write_bw,512,64,4.93
write_with_imm,512,64,2.39
write_bw,512,128,9.84
write_with_imm,512,128,4.78
write_bw,512,256,19.64
write_with_imm,512,256,9.54
write_bw,512,512,39.21
write_with_imm,512,512,19.00
write_bw,512,1024,78.19
write_with_imm,512,1024,37.78
write_bw,512,2048,155.36
write_with_imm,512,2048,74.71
write_bw,512,4096,309.90
write_with_imm,512,4096,147.21
write_bw,512,8192,623.61
write_with_imm,512,8192,287.54
write_bw,512,16384,759.70
write_with_imm,512,16384,519.10
write_bw,512,32768,759.75
write_with_imm,512,32768,759.41
write_bw,512,65536,759.77
write_with_imm,512,65536,759.64
write_bw,512,131072,759.75
write_with_imm,512,131072,759.68
write_bw,512,262144,759.77
write_with_imm,512,262144,759.73
write_bw,512,524288,759.78
write_with_imm,512,524288,759.75
write_bw,512,1048576,759.78
write_with_imm,512,1048576,759.76
write_bw,512,2097152,759.78
write_with_imm,512,2097152,759.76
write_bw,512,4194304,759.78
write_with_imm,512,4194304,759.60
write_bw,512,8388608,759.78
write_with_imm,512,8388608,759.36
write_bw,1024,2,0.15
write_with_imm,1024,2,0.05
write_bw,1024,4,0.30
write_with_imm,1024,4,0.09
write_bw,1024,8,0.61
write_with_imm,1024,8,0.19
write_bw,1024,16,1.21
write_with_imm,1024,16,0.37
write_bw,1024,32,2.43
write_with_imm,1024,32,0.75
write_bw,1024,64,4.86
write_with_imm,1024,64,1.50
write_bw,1024,128,9.70
write_with_imm,1024,128,2.99
write_bw,1024,256,19.37
write_with_imm,1024,256,5.97
write_bw,1024,512,38.68
write_with_imm,1024,512,11.88
write_bw,1024,1024,77.10
write_with_imm,1024,1024,23.63
write_bw,1024,2048,153.45
write_with_imm,1024,2048,47.04
write_bw,1024,4096,305.59
write_with_imm,1024,4096,93.08
write_bw,1024,8192,588.44
write_with_imm,1024,8192,180.01
write_bw,1024,16384,759.76
write_with_imm,1024,16384,346.04
write_bw,1024,32768,759.76
write_with_imm,1024,32768,676.07
write_bw,1024,65536,759.77
write_with_imm,1024,65536,760.28
write_bw,1024,131072,759.77
write_with_imm,1024,131072,760.29
write_bw,1024,262144,759.77
write_with_imm,1024,262144,760.29
write_bw,1024,524288,759.78
write_with_imm,1024,524288,760.08
write_bw,1024,1048576,759.78
write_with_imm,1024,1048576,759.93
write_bw,1024,2097152,759.78
write_with_imm,1024,2097152,759.83
write_bw,1024,4194304,759.78
write_with_imm,1024,4194304,759.81
write_bw,1024,8388608,759.78
write_with_imm,1024,8388608,759.74
write_bw,2048,2,0.15
write_with_imm,2048,2,0.04
write_bw,2048,4,0.30
write_with_imm,2048,4,0.07
write_bw,2048,8,0.59
write_with_imm,2048,8,0.14
write_bw,2048,16,1.18
write_with_imm,2048,16,0.28
write_bw,2048,32,2.36
write_with_imm,2048,32,0.57
write_bw,2048,64,4.72
write_with_imm,2048,64,1.14
write_bw,2048,128,9.43
write_with_imm,2048,128,2.27
write_bw,2048,256,18.83
write_with_imm,2048,256,4.53
write_bw,2048,512,37.55
write_with_imm,2048,512,9.02
write_bw,2048,1024,74.75
write_with_imm,2048,1024,17.96
write_bw,2048,2048,148.34
write_with_imm,2048,2048,35.70
write_bw,2048,4096,293.99
write_with_imm,2048,4096,70.95
write_bw,2048,8192,560.37
write_with_imm,2048,8192,139.67
write_bw,2048,16384,759.34
write_with_imm,2048,16384,273.09
write_bw,2048,32768,759.36
write_with_imm,2048,32768,186.89
write_bw,2048,65536,759.38
write_with_imm,2048,65536,759.26
write_bw,2048,131072,759.42
write_with_imm,2048,131072,759.40
write_bw,2048,262144,759.45
write_with_imm,2048,262144,759.39
write_bw,2048,524288,759.45
write_with_imm,2048,524288,759.30
write_bw,2048,1048576,759.46
write_with_imm,2048,1048576,759.04
write_bw,2048,2097152,759.46
write_with_imm,2048,2097152,758.96
write_bw,2048,4194304,759.45
write_with_imm,2048,4194304,758.91
write_bw,2048,8388608,759.52
write_with_imm,2048,8388608,758.92
write_bw,4090,2,0.15
write_with_imm,4090,2,0.02
write_bw,4090,4,0.31
write_with_imm,4090,4,0.05
write_bw,4090,8,0.62
write_with_imm,4090,8,0.09
write_bw,4090,16,1.24
write_with_imm,4090,16,0.19
write_bw,4090,32,2.48
write_with_imm,4090,32,0.38
write_bw,4090,64,4.95
write_with_imm,4090,64,0.76
write_bw,4090,128,9.89
write_with_imm,4090,128,1.52
write_bw,4090,256,19.74
write_with_imm,4090,256,3.03
write_bw,4090,512,39.34
write_with_imm,4090,512,6.04
write_bw,4090,1024,78.21
write_with_imm,4090,1024,12.03
write_bw,4090,2048,154.73
write_with_imm,4090,2048,23.97
write_bw,4090,4096,305.56
write_with_imm,4090,4096,47.79
write_bw,4090,8192,574.81
write_with_imm,4090,8192,94.95
write_bw,4090,16384,758.76
write_with_imm,4090,16384,142.08
write_bw,4090,32768,759.16
write_with_imm,4090,32768,77.82
write_bw,4090,65536,759.17
write_with_imm,4090,65536,315.16
write_bw,4090,131072,759.15
write_with_imm,4090,131072,759.65
write_bw,4090,262144,759.19
write_with_imm,4090,262144,759.70
write_bw,4090,524288,759.17
write_with_imm,4090,524288,759.63
write_bw,4090,1048576,759.17
write_with_imm,4090,1048576,759.41
write_bw,4090,2097152,759.17
write_with_imm,4090,2097152,759.31
write_bw,4090,4194304,759.17
write_with_imm,4090,4194304,759.22
write_bw,4090,8388608,759.31
write_with_imm,4090,8388608,759.35
